<bos><|turn>system
Follow the user's output format exactly. Do not include an explanation unless requested.<turn|>
<|turn>user
Read this registry. Only the record named TARGET-ORCHID is relevant.
Record R0000: depot=harbor-0; parcel=100000; status=stored.
Record R0492: depot=harbor-27; parcel=167404; status=stored.
Record R0493: depot=harbor-28; parcel=167541; status=stored.
Record R0494: depot=harbor-29; parcel=167678; status=stored.
Record R0495: depot=harbor-30; parcel=167815; status=stored.
Record R0496: depot=harbor-0; parcel=167952; status=stored.
Record R0497: depot=harbor-1; parcel=168089; status=stored.
Record R0498: depot=harbor-2; parcel=168226; status=stored.
Record R0499: depot=harbor-3; parcel=168363; status=stored.
Record R0500: depot=harbor-4; parcel=168500; status=stored.
Record R0501: depot=harbor-5; parcel=168637; status=stored.
Record R0502: depot=harbor-6; parcel=168774; status=stored.
Record R0503: depot=harbor-7; parcel=168911; status=stored.
Record R0504: depot=harbor-8; parcel=169048; status=stored.
Record R0505: depot=harbor-9; parcel=169185; status=stored.
Record R0506: depot=harbor-10; parcel=169322; status=stored.
Record R0507: depot=harbor-11; parcel=169459; status=stored.
Record R0508: depot=harbor-12; parcel=169596; status=stored.
Record R0509: depot=harbor-13; parcel=169733; status=stored.
Record R0510: depot=harbor-14; parcel=169870; status=stored.
Record R0511: depot=harbor-15; parcel=170007; status=stored.
Record R0512: depot=harbor-16; parcel=170144; status=stored.
Record R0513: depot=harbor-17; parcel=170281; status=stored.
Record R0514: depot=harbor-18; parcel=170418; status=stored.
Record R0515: depot=harbor-19; parcel=170555; status=stored.
Record R0516: depot=harbor-20; parcel=170692; status=stored.
Record R0517: depot=harbor-21; parcel=170829; status=stored.
Record R0518: depot=harbor-22; parcel=170966; status=stored.
Record R0519: depot=harbor-23; parcel=171103; status=stored.
Record R0520: depot=harbor-24; parcel=171240; status=stored.
Record R0521: depot=harbor-25; parcel=171377; status=stored.
Record R0522: depot=harbor-26; parcel=171514; status=stored.
Record R0523: depot=harbor-27; parcel=171651; status=stored.
Record R0524: depot=harbor-28; parcel=171788; status=stored.
Record R0525: depot=harbor-29; parcel=171925; status=stored.
Record R0526: depot=harbor-30; parcel=172062; status=stored.
Record R0527: depot=harbor-0; parcel=172199; status=stored.
Record R0528: depot=harbor-1; parcel=172336; status=stored.
Record R0529: depot=harbor-2; parcel=172473; status=stored.
Record R0530: depot=harbor-3; parcel=172610; status=stored.
Record R0531: depot=harbor-4; parcel=172747; status=stored.
Record R0532: depot=harbor-5; parcel=172884; status=stored.
Record R0533: depot=harbor-6; parcel=173021; status=stored.
Record R0534: depot=harbor-7; parcel=173158; status=stored.
Record R0535: depot=harbor-8; parcel=173295; status=stored.
Record R0536: depot=harbor-9; parcel=173432; status=stored.
Record R0537: depot=harbor-10; parcel=173569; status=stored.
Record R0538: depot=harbor-11; parcel=173706; status=stored.
Record R0539: depot=harbor-12; parcel=173843; status=stored.
Record R0540: depot=harbor-13; parcel=173980; status=stored.
Record R0541: depot=harbor-14; parcel=174117; status=stored.
Record R0542: depot=harbor-15; parcel=174254; status=stored.
Record R0543: depot=harbor-16; parcel=174391; status=stored.
Record R0544: depot=harbor-17; parcel=174528; status=stored.
Record R0545: depot=harbor-18; parcel=174665; status=stored.
Record R0546: depot=harbor-19; parcel=174802; status=stored.
Record R0547: depot=harbor-20; parcel=174939; status=stored.
Record R0548: depot=harbor-21; parcel=175076; status=stored.
Record R0549: depot=harbor-22; parcel=175213; status=stored.
Record R0550: depot=harbor-23; parcel=175350; status=stored.
Record R0551: depot=harbor-24; parcel=175487; status=stored.
Record R0552: depot=harbor-25; parcel=175624; status=stored.
Record R0553: depot=harbor-26; parcel=175761; status=stored.
Record R0554: depot=harbor-27; parcel=175898; status=stored.
Record R0555: depot=harbor-28; parcel=176035; status=stored.
Record R0556: depot=harbor-29; parcel=176172; status=stored.
Record R0557: depot=harbor-30; parcel=176309; status=stored.
Record R0558: depot=harbor-0; parcel=176446; status=stored.
Record R0559: depot=harbor-1; parcel=176583; status=stored.
Record R0560: depot=harbor-2; parcel=176720; status=stored.
Record R0561: depot=harbor-3; parcel=176857; status=stored.
Record R0562: depot=harbor-4; parcel=176994; status=stored.
Record R0563: depot=harbor-5; parcel=177131; status=stored.
Record R0564: depot=harbor-6; parcel=177268; status=stored.
Record R0565: depot=harbor-7; parcel=177405; status=stored.
Record R0566: depot=harbor-8; parcel=177542; status=stored.
Record R0567: depot=harbor-9; parcel=177679; status=stored.
Record R0568: depot=harbor-10; parcel=177816; status=stored.
Record R0569: depot=harbor-11; parcel=177953; status=stored.
Record R0570: depot=harbor-12; parcel=178090; status=stored.
Record R0571: depot=harbor-13; parcel=178227; status=stored.

What parcel number belongs to TARGET-ORCHID? Return only the six digits.<turn|>
<|turn>model
<|channel>thought
<channel|>
